"","X","Characteristic","Electricity","Sourceofdrinkingwater","Timetowatersource","Sanitationfacility","Flooring","Personspersleepingroom"
"79",80,"Urban","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"80",81,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"81",82,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"82",83,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"83",84,"Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"84",85,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"85",86,"Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"86",87,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"87",88,"Urban","Yes","Piped into residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","3-4"
"88",89,"Urban","Yes","River.stream","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"89",90,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"90",91,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"91",92,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"92",93,"Urban","Yes","Piped into residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"93",94,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"94",95,"Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"95",96,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"96",97,"Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"97",98,"Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"98",99,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"99",100,"Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"100",101,"Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"101",102,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"102",103,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"103",104,"Urban","Yes","Piped into residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"104",105,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"105",106,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"106",107,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"107",108,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"108",109,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"109",110,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"110",111,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"111",112,"Urban","No","Well in residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"112",113,"Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"113",114,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"114",115,"Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"115",116,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"116",117,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"117",118,"Urban","Yes","Piped into residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"118",119,"Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","3-4"
"119",120,"Urban","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"120",121,"Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","5-6"
"121",122,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"122",123,"Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"123",124,"Urban","Yes","Rain water","Less than 15 minutes","No facility bush","Finished floor","3-4"
"124",125,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"125",126,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"126",127,"Urban","Yes","Public tap","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"127",128,"Urban","Yes","Public tap","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"128",129,"Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","7+"
"129",130,"Urban","Yes","Piped into residence","More than 15 minutes","No facility bush","Finished floor","5-6"
"130",131,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Earth sand","1-2"
"131",132,"Urban","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"132",133,"Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"133",134,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"134",135,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"135",136,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"136",137,"Urban","Yes","Public well","Less than 15 minutes","Own flush toilet","Earth sand","3-4"
"137",138,"Urban","Yes","Public tap","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"138",139,"Urban","Yes","Public well","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"139",140,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"140",141,"Urban","Yes","Rain water","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"141",142,"Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"142",143,"Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"143",144,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"144",145,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"145",146,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"146",147,"Urban","No","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"147",149,"Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"148",150,"Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"149",151,"Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"150",152,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"151",153,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"152",154,"Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"153",155,"Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"154",156,"Urban","Yes","Piped into residence","Less than 15 minutes","Shared flush toilet","Earth sand","1-2"
"155",157,"Urban","Yes","Rain water","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"156",158,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"157",159,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Earth sand","3-4"
"158",160,"Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"159",161,"Urban","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"160",162,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"161",163,"Urban","Yes","Public tap","Less than 15 minutes","Own flush toilet","Finished floor","7+"
"162",164,"Urban","Yes","Piped into residence","More than 15 minutes","Own flush toilet","Finished floor","1-2"
"163",165,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"164",166,"Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"165",167,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","7+"
"166",168,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"167",169,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"168",170,"Urban","Yes","Rain water","Less than 15 minutes","No facility bush","Finished floor","1-2"
"169",171,"Urban","Yes","Public tap","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"170",172,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"171",173,"Urban","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"172",174,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Earth sand","1-2"
"173",175,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"174",176,"Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"175",177,"Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"176",178,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"177",179,"Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"178",180,"Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"179",181,"Urban","Yes","Public tap","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"180",182,"Urban","Yes","Piped into residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"181",183,"Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","7+"
"182",184,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"183",185,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"184",186,"Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"185",187,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"186",188,"Urban","Yes","Piped into residence","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","1-2"
"187",189,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Rough wood/bamboo","3-4"
"188",190,"Urban","Yes","Piped into residence","Less than 15 minutes","Shared flush toilet","Finished floor","1-2"
"189",191,"Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"190",192,"Urban","Yes","Rain water","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","7+"
"191",193,"Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"192",194,"Urban","Yes","Piped into residence","Less than 15 minutes","Shared flush toilet","Finished floor","3-4"
"193",195,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"194",196,"Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"195",197,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"196",198,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"197",199,"Urban","Yes","Public tap","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"198",200,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"199",201,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Earth sand","1-2"
"200",202,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"201",203,"Urban","Yes","Public tap","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"202",204,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"203",205,"Urban","Yes","Public well","Less than 15 minutes","No facility bush","Finished floor","1-2"
"204",206,"Urban","Yes","River.stream","Less than 15 minutes","Own flush toilet","Earth sand","1-2"
"205",207,"Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"206",208,"Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Earth sand","1-2"
"207",209,"Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"208",210,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"209",211,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","7+"
"210",212,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Rough wood/bamboo","5-6"
"211",213,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"212",214,"Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"213",215,"Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","3-4"
"214",216,"Urban","Yes","River.stream","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"215",217,"Urban","Yes","Public well","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"216",218,"Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"217",219,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"218",220,"Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"219",221,"Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"220",222,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"221",223,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Earth sand","1-2"
"222",224,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"223",225,"Urban","Yes","River.stream","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"224",226,"Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"225",227,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"226",228,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"227",229,"Urban","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"228",230,"Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"229",231,"Urban","Yes","Rain water","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"230",232,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","7+"
"231",233,"Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"232",234,"Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"233",235,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"234",236,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"235",237,"Urban","Yes","Public tap","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"236",238,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"237",239,"Urban","Yes","Piped into residence","Less than 15 minutes","Shared flush toilet","Finished floor","1-2"
"238",240,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"239",241,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"240",242,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"241",243,"Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"242",244,"Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"243",245,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"244",246,"Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"245",247,"Urban","Yes","Public tap","Less than 15 minutes","Own flush toilet","Finished floor","7+"
"246",248,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"247",249,"Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"248",250,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"249",251,"Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","7+"
"250",252,"Urban","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"251",253,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"252",254,"Urban","Yes","Rain water","Less than 15 minutes","No facility bush","Finished floor","3-4"
"253",255,"Urban","Yes","Piped into residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","3-4"
"254",256,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"255",257,"Urban","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"256",258,"Urban","Yes","Public tap","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"257",259,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"258",260,"Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"259",261,"Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"260",262,"Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"261",263,"Urban","Yes","Rain water","Less than 15 minutes","Shared flush toilet","Finished floor","1-2"
"262",264,"Urban","Yes","Well in residence","Less than 15 minutes","Shared flush toilet","Finished floor","1-2"
"263",265,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"264",266,"Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"265",267,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"266",268,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"267",269,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"268",270,"Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","7+"
"269",271,"Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"270",272,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"271",273,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"272",274,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"273",275,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"274",276,"Urban","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","5-6"
"275",277,"Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"276",278,"Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Earth sand","3-4"
"277",279,"Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
