"","Characteristic","Electricity","Sourceofdrinkingwater","Timetowatersource","Sanitationfacility","Flooring","Personspersleepingroom"
"58","Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"59","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"60","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"61","Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"62","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"63","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"64","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"65","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"66","Urban","Yes","River.stream","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"67","Urban","Yes","Public tap","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"68","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"69","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"70","Urban","Yes","Public well","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"71","Urban","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","3-4"
"72","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"73","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"74","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"75","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"76","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"77","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"78","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"79","Urban","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"80","Urban","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"81","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"82","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"83","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"84","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"85","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"86","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"87","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"88","Urban","Yes","Piped into residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","3-4"
"89","Urban","Yes","River.stream","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"90","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"91","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"92","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"93","Urban","Yes","Piped into residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"94","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"95","Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"96","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"97","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"98","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"99","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"100","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"101","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"102","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"103","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"104","Urban","Yes","Piped into residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"105","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"106","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"107","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"108","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"109","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"110","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"111","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"112","Urban","No","Well in residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"113","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"114","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"115","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"116","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"117","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"118","Urban","Yes","Piped into residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"119","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","3-4"
"120","Urban","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"121","Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","5-6"
"122","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"123","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"124","Urban","Yes","Rain water","Less than 15 minutes","No facility bush","Finished floor","3-4"
"125","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"126","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"127","Urban","Yes","Public tap","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"128","Urban","Yes","Public tap","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"129","Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","7+"
"130","Urban","Yes","Piped into residence","More than 15 minutes","No facility bush","Finished floor","5-6"
"131","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Earth sand","1-2"
"132","Urban","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"133","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"134","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"135","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"136","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"137","Urban","Yes","Public well","Less than 15 minutes","Own flush toilet","Earth sand","3-4"
"138","Urban","Yes","Public tap","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"139","Urban","Yes","Public well","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"140","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"141","Urban","Yes","Rain water","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"142","Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"143","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"144","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"145","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"146","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"147","Urban","No","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"148","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","Dont know/missing"
"149","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"150","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"151","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"152","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"153","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"154","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"155","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"156","Urban","Yes","Piped into residence","Less than 15 minutes","Shared flush toilet","Earth sand","1-2"
"157","Urban","Yes","Rain water","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"158","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"159","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Earth sand","3-4"
"160","Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"161","Urban","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"162","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"163","Urban","Yes","Public tap","Less than 15 minutes","Own flush toilet","Finished floor","7+"
"164","Urban","Yes","Piped into residence","More than 15 minutes","Own flush toilet","Finished floor","1-2"
"165","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"166","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Earth sand","1-2"
"167","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","7+"
"168","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"169","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"170","Urban","Yes","Rain water","Less than 15 minutes","No facility bush","Finished floor","1-2"
"171","Urban","Yes","Public tap","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"172","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"173","Urban","Yes","Rain water","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"174","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Earth sand","1-2"
"175","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"176","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"177","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"178","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"179","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"180","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"181","Urban","Yes","Public tap","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"182","Urban","Yes","Piped into residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"183","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","7+"
"184","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"185","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"186","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"187","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"188","Urban","Yes","Piped into residence","Less than 15 minutes","Vent. imp. pit toilet","Earth sand","1-2"
"189","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Rough wood/bamboo","3-4"
"190","Urban","Yes","Piped into residence","Less than 15 minutes","Shared flush toilet","Finished floor","1-2"
"191","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"192","Urban","Yes","Rain water","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","7+"
"193","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"194","Urban","Yes","Piped into residence","Less than 15 minutes","Shared flush toilet","Finished floor","3-4"
"195","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"196","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"197","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"198","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"199","Urban","Yes","Public tap","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"200","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"201","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Earth sand","1-2"
"202","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"203","Urban","Yes","Public tap","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"204","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"205","Urban","Yes","Public well","Less than 15 minutes","No facility bush","Finished floor","1-2"
"206","Urban","Yes","River.stream","Less than 15 minutes","Own flush toilet","Earth sand","1-2"
"207","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"208","Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Earth sand","1-2"
"209","Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"210","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"211","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","7+"
"212","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Rough wood/bamboo","5-6"
"213","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"214","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"215","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Rough wood/bamboo","3-4"
"216","Urban","Yes","River.stream","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"217","Urban","Yes","Public well","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"218","Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"219","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"220","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"221","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"222","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"223","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Earth sand","1-2"
"224","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"225","Urban","Yes","River.stream","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"226","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Earth sand","3-4"
"227","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"228","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"229","Urban","Yes","Well in residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"230","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"231","Urban","Yes","Rain water","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"232","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","7+"
"233","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"234","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"235","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"236","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"237","Urban","Yes","Public tap","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"238","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"239","Urban","Yes","Piped into residence","Less than 15 minutes","Shared flush toilet","Finished floor","1-2"
"240","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"241","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"242","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"243","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"244","Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"245","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"246","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"247","Urban","Yes","Public tap","Less than 15 minutes","Own flush toilet","Finished floor","7+"
"248","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"249","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"250","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"251","Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","7+"
"252","Urban","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","5-6"
"253","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"254","Urban","Yes","Rain water","Less than 15 minutes","No facility bush","Finished floor","3-4"
"255","Urban","Yes","Piped into residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","3-4"
"256","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"257","Urban","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"258","Urban","Yes","Public tap","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"259","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"260","Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","3-4"
"261","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"262","Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"263","Urban","Yes","Rain water","Less than 15 minutes","Shared flush toilet","Finished floor","1-2"
"264","Urban","Yes","Well in residence","Less than 15 minutes","Shared flush toilet","Finished floor","1-2"
"265","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"266","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"267","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"268","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"269","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"270","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","7+"
"271","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","3-4"
"272","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"273","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"274","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"275","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"276","Urban","Yes","Well in residence","Less than 15 minutes","No facility bush","Finished floor","5-6"
"277","Urban","Yes","Well in residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"278","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Earth sand","3-4"
"279","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"280","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"281","Urban","Yes","Rain water","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"282","Urban","Yes","Piped into residence","Less than 15 minutes","Vent. imp. pit toilet","Finished floor","1-2"
"283","Urban","Yes","River.stream","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"284","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"285","Urban","Yes","Well in residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"286","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","7+"
"287","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
"288","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Rough wood/bamboo","3-4"
"289","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","7+"
"290","Urban","Yes","Piped into residence","Less than 15 minutes","Traditional pit toilet","Finished floor","1-2"
"291","Urban","Yes","Piped into residence","Less than 15 minutes","Shared flush toilet","Finished floor","1-2"
"292","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","3-4"
"293","Urban","Yes","Piped into residence","Less than 15 minutes","No facility bush","Finished floor","1-2"
"294","Urban","Yes","Public tap","Less than 15 minutes","Own flush toilet","Finished floor","1-2"
"295","Urban","Yes","Piped into residence","Less than 15 minutes","Own flush toilet","Finished floor","5-6"
